   AWS  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB WW WW WW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
722280 13876 200301010053 140  11 ***  49 OVC * * * 10.1 00 ** ** *   59   54 1003.8 29.65 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301010153 140  13 ***  25 OVC * * *  2.5 63 10 ** *   57   54 1003.7 29.65 ****** *** ***  0.03 ***** ***** ***** ** 
722280 13876 200301010253 170  14  21  14 OVC * * *  3.0 63 10 ** *   57   55 1003.7 29.65 ****** *** ***  0.19 ***** *****  0.22 ** 
722280 13876 200301010316 160   9  16  79 BKN * * * 10.1 00 ** ** *   57   54 ****** 29.65 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301010353 150   9 *** 108 BKN * * * 10.1 00 ** ** *   57   54 1003.7 29.65 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301010453 170   9 ***  59 BKN * * *  4.0 10 ** ** *   57   54 1003.4 29.64 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301010553 170   6 ***  60 OVC * * * 10.0 00 ** ** *   56   53 1002.6 29.62 ******  60  56 *****  0.22 ***** ***** ** 
722280 13876 200301010609 170   8 ***  19 OVC * * *  7.0 61 ** ** *   55   54 ****** 29.62 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301010617 160   8 ***  20 OVC * * *  7.0 00 ** ** *   55   52 ****** 29.61 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301010653 160   5 ***  36 OVC * * *  7.0 61 ** ** *   55   52 1002.2 29.61 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301010700 160   5 ***  37 OVC * * *  7.0 61 ** ** *   55   52 1002.2 29.61 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301010753 170   6 ***  17 OVC * * *  6.0 51 45 10 *   54   52 1002.0 29.60 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301010823 150   5 ***  13 OVC * * *  4.0 61 10 ** *   54   52 ****** 29.60 ****** *** ***  0.01 ***** ***** ***** ** 
722280 13876 200301010853 190   6 ***  13 OVC * * *  3.0 61 45 10 *   54   52 1002.2 29.61 ****** *** ***  0.00 ***** *****  0.03 ** 
722280 13876 200301010937 180   8 ***  15 OVC * * *  6.0 61 10 ** *   54   52 ****** 29.61 ****** *** ***  0.04 ***** ***** ***** ** 
722280 13876 200301010953 190   5 ***  18 OVC * * *  6.0 61 45 10 *   54   52 1002.4 29.61 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301011009 190   5 ***  14 OVC * * *  6.0 10 ** ** *   54   52 ****** 29.62 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301011045 230   7 ***   7 OVC * * *  4.0 51 10 ** *   54   52 ****** 29.62 ****** *** ***  0.01 ***** ***** ***** ** 
722280 13876 200301011053 220   9 ***   8 OVC * * *  4.0 51 45 10 *   54   52 1002.8 29.63 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301011153 220  13 ***   6 OVC * * *  3.0 51 45 10 *   52   50 1003.9 29.65 ******  56  52     T  0.09  0.74 ***** ** 
722280 13876 200301011253 220  12 ***   6 OVC * * *  2.0 51 45 10 *   50   49 1005.4 29.70 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301011321 230  11 ***   5 OVC * * *  6.0 10 ** ** *   50   48 ****** 29.72 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301011343 230  13 ***   6 OVC * * *  2.5 51 10 ** *   50   48 ****** 29.73 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301011353 230  12 ***   6 OVC * * *  2.5 51 45 10 *   50   49 1006.9 29.74 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301011445 240   9 ***   6 OVC * * *  5.0 51 10 ** *   50   48 ****** 29.77 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301011453 240  13 ***   6 OVC * * *  5.0 51 45 10 *   50   49 1008.0 29.78 ****** *** ***  0.00 ***** *****     T ** 
722280 13876 200301011553 230   9 ***   6 OVC * * * 10.0 00 ** ** *   49   47 1008.5 29.79 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301011603 230  11 ***   4 OVC * * *  5.0 10 ** ** *   48   46 ****** 29.79 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301011653 250   8 ***   4 OVC * * *  5.0 51 45 10 *   49   47 1008.6 29.79 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301011753 240  10 ***   5 OVC * * *  4.0 45 10 ** *   48   47 1008.7 29.80 ******  52  48     T  0.00 ***** ***** ** 
722280 13876 200301011829 240  10 ***   5 OVC * * *  1.5 51 10 ** *   48   46 ****** 29.80 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301011853 230  12 ***   5 OVC * * *  3.0 51 45 10 *   48   46 1008.8 29.80 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301011953 220  12 ***   5 OVC * * *  4.0 51 45 10 *   47   46 1009.8 29.83 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301012053 270  12 ***   5 OVC * * *  6.0 51 45 10 *   47   45 1010.6 29.85 ****** *** ***  0.00 ***** *****     T ** 
722280 13876 200301012153 250  10 ***   7 OVC * * *  4.0 51 45 10 *   47   45 1011.2 29.87 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301012210 260   9 ***   4 OVC * * *  2.0 51 10 ** *   46   45 ****** 29.88 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301012253 270   7 ***   5 OVC * * *  3.0 51 45 10 *   46   45 1011.8 29.88 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301012322 280  10 ***   5 OVC * * *  2.0 51 10 ** *   46   45 ****** 29.90 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301012353 270   8 ***   7 OVC * * *  1.8 51 45 10 *   46   44 1012.8 29.91 ******  48  46     T  0.00 ***** ***** ** 
722280 13876 200301020037 280   7 ***  12 OVC * * *  2.5 51 10 ** *   46   45 ****** 29.93 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301020053 300   5 ***  12 OVC * * *  2.5 10 ** ** *   46   45 1013.2 29.92 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301020100 300   5 ***  12 OVC * * *  2.5 45 ** ** *   46   44 1013.2 29.92 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301020102 290   3 ***   4 OVC * * *  2.5 10 ** ** *   46   45 ****** 29.92 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301020130 220   5 ***  10 OVC * * *  3.0 10 ** ** *   46   45 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301020200 210   3 ***  10 *** * * *  3.0 45 ** ** *   46   44 1013.0 29.92 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301020253 210   6 ***  12 OVC * * *  3.0 45 10 ** *   46   44 1013.3 29.93 ****** *** ***  0.00 ***** *****     T ** 
722280 13876 200301020331 250   5 ***   4 OVC * * *  2.5 10 ** ** *   46   45 ****** 29.93 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301020353 260   7 ***   5 OVC * * *  2.0 45 10 ** *   45   44 1013.9 29.94 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301020434 240   5 ***   2 OVC * * *  1.8 10 ** ** *   45   45 ****** 29.93 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301020453 230   7 ***   3 OVC * * *  2.0 45 10 ** *   45   45 1013.5 29.93 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301020553 240   9 ***   7 OVC * * *  2.0 45 10 ** *   45   44 1013.3 29.93 ******  46  45  0.00  0.00 ***** ***** ** 
722280 13876 200301020636 220   9 ***  13 OVC * * *  3.0 10 ** ** *   45   45 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301020653 240   6 ***  13 OVC * * *  3.0 10 ** ** *   45   45 1012.9 29.91 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301020700 240   6 ***  13 OVC * * *  3.0 45 10 ** *   45   44 1012.9 29.91 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301020753 230   7 ***   8 OVC * * *  2.0 45 10 ** *   45   43 1013.1 29.92 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301020813 230   3 ***  11 OVC * * *  3.0 10 ** ** *   45   43 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301020853 220   6 ***   9 OVC * * *  3.0 45 10 ** *   45   43 1012.6 29.90 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301020903 230   6 ***   7 OVC * * *  2.5 51 10 ** *   45   43 ****** 29.91 ****** *** ***     T ***** ***** ***** ** 
722280 13876 200301020953 240   5 ***  13 OVC * * *  3.0 45 10 ** *   45   44 1013.2 29.92 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301021023 240   5 ***  15 OVC * * *  3.0 10 ** ** *   45   45 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301021033 230   6 ***   4 OVC * * *  3.0 10 ** ** *   45   45 ****** 29.92 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301021053 260   7 ***   7 OVC * * *  3.0 45 10 ** *   45   44 1013.5 29.93 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301021105 250   6 ***   9 OVC * * *  3.0 10 ** ** *   45   45 ****** 29.93 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301021115 230   3 ***  13 OVC * * *  3.0 10 ** ** *   45   45 ****** 29.93 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301021132 200   6 ***  10 OVC * * *  3.0 10 ** ** *   45   45 ****** 29.93 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301021153 190   6 ***   9 OVC * * *  4.0 45 10 ** *   45   43 1013.4 29.93 ******  46  45  0.00  0.00 ***** ***** ** 
722280 13876 200301021215 190   7 ***  15 OVC * * *  4.0 10 ** ** *   45   43 ****** 29.92 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301021222 190   6 ***  13 OVC * * *  4.0 10 ** ** *   45   41 ****** 29.93 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301021253 220   7 ***  11 OVC * * *  4.0 45 10 ** *   45   42 1013.9 29.94 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301021353 180   8 ***  11 BKN * * *  7.0 00 ** ** *   45   41 1013.5 29.93 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301021443 190   7 ***   9 OVC * * * 10.1 00 ** ** *   46   43 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301021453 190   7 ***   9 OVC * * * 10.0 00 ** ** *   46   42 1013.8 29.94 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301021553 160   8 ***   9 OVC * * * 10.0 00 ** ** *   47   43 1013.2 29.92 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301021653 140   6 ***   9 OVC * * * 10.0 00 ** ** *   48   44 1012.1 29.89 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301021707 150   7 ***  11 OVC * * * 10.1 00 ** ** *   48   45 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
722280 13876 200301021723 160   8 ***  27 OVC * * *  7.0 61 ** ** *   48   45 ****** 29.87 ****** *** ***  0.01 ***** ***** ***** ** 
722280 13876 200301021753 140   9 ***  25 OVC * * * 10.0 61 ** ** *   49   45 1010.7 29.85 ******  49  45  0.01  0.01 ***** ***** ** 
722280 13876 200301021853 230   6 ***  20 OVC * * *  3.0 63 45 10 *   49   46 1009.9 29.82 ****** *** ***  0.00 ***** ***** ***** ** 
722280 13876 200301021953 260   7 ***  10 OVC * * *  3.0 61 45 10 *   49   47 1010.2 29.83 ****** *** ***  0.00 ***** ***** ***** ** 
